Vendor Name,Category,Purchasing_Document,Start_Date,End_Date,Mandated_Use,P_card,Vendor_Contact,Notes,Trim_URL
Environmental Compliance,"Contaminated Media Disposal ",31001461,11/01/2018,10/31/2023,Yes,No,"Dale Greinke
503-341-1038
dale@eccalaska.com",,https://trim.portlandoregon.gov/mobile?q=C31001461&t=Record
Fastenal Company,"Industrial MRO Supplies ",31001478,12/01/2018,06/30/2023,No,Yes,"Joel Tilton
503-341-1038
jtilton@fastenal.com",,https://trim.portlandoregon.gov/mobile?q=c31001478&t=Record
Ferrellgas Lp,"Medical and Industrial Gases ",31000819,01/13/2016,01/12/2026,No,No,"Janet Metro
800-291-2105
toridavis@ferrellgas.com",Propane only.,https://trim.portlandoregon.gov/mobile?q=c31000819&t=Record
Forrest Paint Co,"Paint, Coatings, and Related Supplies ",31001684,01/01/2020,12/31/2024,Yes,No,"Charlie Thompson
971-645-8438
cthompson@forrestpaint.com",,https://trim.portlandoregon.gov/mobile?q=C31001684&t=Record
Franklin Covey Client Sales Inc,Leadership Training And Materials,31001503,05/01/2019,04/30/2024,Yes,No,"Lucinda Posadas
949-751-4675
Lucinda.Posadas@FranklinCovey.com",,https://trim.portlandoregon.gov/mobile?q=C31001503&t=Record
Glacier Northwest Inc,Bulk Mixed Concrete,31001238,02/01/2018,01/31/2023,Yes,No,"Steve Thomas
503-535-7786
sthomas@calportland.com",,https://trim.portlandoregon.gov/mobile?q=C31001238&t=Record
Grainger,"Industrial MRO Supplies ",31001479,12/01/2018,06/30/2023,No,Yes,"Tim Abbott
503-679-6387
Tim.Abbott@grainger.com ",,https://trim.portlandoregon.gov/mobile?q=c31001479&t=Record
Graybar Electric Co Inc,"Electrical Parts and Supplies ",31001749,05/01/2020,01/31/2023,No,Yes,"Online:
www.graybar.com

Retail:
901 NE 60th Ave
Portland, OR 97213
503.280.4200

Account Representation:
Geoff Blumhagen
541.650.4501
Geoff.blumhagen@graybar.com",,https://trim.portlandoregon.gov/mobile?q=C31001749&t=Record
Harris Worksystems Inc,Office Furniture,31000974,03/01/2017,02/28/2022,Yes,No,"Colleen Harris
503-643-3018 x23
colleenh@harrisworksystems.com","Ergonomic chairs, desks and keyboard trays only.",https://trim.portlandoregon.gov/mobile?q=c31000974&t=Record
Harrity Tree Specialists Inc,"Arborist Services ",31001229,02/01/2018,01/31/2023,Yes,No,"Joseph Harrity
503-331-0452
harritytree@comcast.net",,https://trim.portlandoregon.gov/mobile?q=C31001229&t=Record
Herc Rentals Inc,Equipment Rental,31001522,04/01/2019,09/23/2023,No,No,"Traci Dobberstein
310-233-5010
Traci.Dobberstein@hercRentals.com",,https://trim.portlandoregon.gov/mobile?q=C31001522&t=Record
Hillsboro Landfill Inc,"Contaminated Media Disposal ",31001453,04/15/2020,04/14/2024,Yes,No,"Mark Krening
503-519-3959
mkrening@wm.com",,https://trim.portlandoregon.gov/mobile?q=C31001453&t=Record
Hilti Inc,"Industrial MRO Supplies ",31001480,12/01/2018,06/30/2023,No,Yes,"Sales Desk
800-879-8000
us-sales@hilti.com",,https://trim.portlandoregon.gov/mobile?q=c31001480&t=Record
HMI - Oregon Dealership Inc,Office Furniture,31000973,03/01/2017,02/28/2022,Yes,No,"Barbara Pearce
971-254-4126
Barb_Pearce@pacificwro.com","Ergonomic chairs, desks and keyboard trays only.",https://trim.portlandoregon.gov/mobile?q=c31000973&t=Record
Home Depot USA Inc,General Hardware,31001577,07/01/2019,12/31/2026,No,Yes,"Customer Service
800-466-3337",,https://trim.portlandoregon.gov/mobile?q=C31001577&t=Record
Honl Tree Care Inc,"Arborist Services ",31001252,02/01/2018,01/31/2023,Yes,No,"Chad Honl
503-200-0709
info@honltreecare.com",,https://trim.portlandoregon.gov/mobile?q=C31001252&t=Record
J Franco Reforestation Inc,"Natural Area Habitat Restoration ",31001710,02/24/2020,02/23/2025,Yes,No,"Jesus Franco
503-302-3166
jfrancoforestry@outlook.com",,https://trim.portlandoregon.gov/mobile?q=c31001710&t=Record
J Stout Enterprises LLC,"Auction Services ",30007373,07/15/2020,07/14/2025,Yes,No,"Edward ""Ned"" Burleigh
888-230-8840
edward@jstoutauction.com",,https://trim.portlandoregon.gov/mobile?q=C30007373&t=Record
Johnson Controls Inc,On-Call Mechanical Services,31001671,11/01/2019,10/31/2024,Yes,No,"Mike Farnsworth
HVAC Sales Manager
971-263-1808
mike.farnsworth@jci.com",,https://trim.portlandoregon.gov/mobile?q=C31001671&t=Record
JW Underground Inc,Aggregates and Hauling,31000911,09/01/2016,08/31/2022,Yes,No,"Charles Mackey
503-519-4599
charles@jwunderground.com",Includes disposition of earthen materials.,https://trim.portlandoregon.gov/mobile?q=c31000911&t=Record
Kys-Tech Inc,Notary Services,31002017,06/23/2021,06/22/2026,Yes,No,"Terry Van Bibber
925-357-1775
tvb@kys-tech.com",,https://trim.portlandoregon.gov/mobile?q=C31002017&t=Record
L N Curtis And Sons,Public Safety and Emergency Preparedness Equipment,31001510,01/01/2019,07/01/2024,No,No,"Jeff Curtis
510-268-3325
jcurtis@lncurtis.com",,https://trim.portlandoregon.gov/mobile?q=c31001510&t=Record
L N Curtis And Sons,Public Safety and Emergency Preparedness Equipment,31001998,07/01/2021,05/25/2026,No,No,"Jeff Curtis
510-268-3325
jcurtis@lncurtis.com",,https://trim.portlandoregon.gov/mobile?q=C31001998&t=Record
Language Line Services Inc,Language and Translation Services,30003738,02/15/2014,12/20/2023,Yes,No,"Rick Cummings
831-648-5529
rcummings@languageline.com","American Sign Language, video-based",https://trim.portlandoregon.gov/mobile?q=c30003738&t=Record
Language Line Services Inc,Language and Translation Services,31000635,01/23/2015,10/31/2024,Yes,No,"Rick Cummings
831-648-5529
rcummings@languageline.com","<ul>
<li>Interpretation</li>
<li>Translation</li>
<li>Multiple languages including ASL</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=c31000635&t=Record
Latte No Sugar Co,Language and Translation Services,31000744,09/01/2015,08/31/2025,Yes,No,"Carol Studenmund
800-366-6201
CStudenmund@lnscaptioning.com",Closed captioning,https://trim.portlandoregon.gov/mobile?q=c31000744&t=Record
Loomis Armored US LLC,"Armored Car Transport Services ",31000897,09/01/2015,11/22/2023,No,No,"Tom Merrill
503-289-8478
Tom.merrill@us.loomis.com",,https://trim.portlandoregon.gov/mobile?q=c31000897&t=Record
Macias Gini & Oconnell LLP,Audit Services,31001840,12/01/2020,11/30/2025,No,No,"Rick Green
916-642-7046
rgreen@mgocpa.com ",Financial audit,https://trim.portlandoregon.gov/mobile?q=C31001840&t=Record
Mallory Safety And Supply LLC,"Industrial Safety Products ",31001449,10/01/2018,09/30/2023,No,Yes,"Steve Johnson
360-501-3258
steve.johnson@mallory.com",,https://trim.portlandoregon.gov/mobile?q=C31001449&t=Record
McDermott Fence & Construction Inc,"Fencing Materials and Services ",31001835,10/01/2020,09/30/2023,No,No,"Veronica McMillin
503-256-3060
veronica@mcdermottfence.com",,https://trim.portlandoregon.gov/mobile?q=C31001835&t=Record
McLean Landscaping-Maintenance,Nuisance Abatement Services,31002006,08/16/2021,08/15/2026,Yes,No,"David McLean
503-977-2057
mlmmclean7@aol.com  ","<ul>
<li>Nuisance vegetation management</li>
<li>Debris removal</li>
<li>Board up services</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31002006&t=Record
Merina & Company LLP,Audit Services,31001841,12/01/2020,11/30/2025,No,No,"Brad Rafish
503-723-0300
brafish@merina.com","<ul>
<li>Federal compliance audit</li>
<li>Financial audit</li>
<li>Information technology audit</li>
<li>Performance audit</li>
<li>Risk assessment</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31001841&t=Record
Miller Paint Co,"Paint, Coatings, and Related Supplies ",31001685,01/01/2020,12/31/2024,Yes,No,"Paul Sawyer
503-255-0190
paul.sawyer@millerpaint.com",,https://trim.portlandoregon.gov/mobile?q=C31001685&t=Record
Mindlink Resources LLC,Language and Translation Services,31000644,12/29/2014,10/31/2024,Yes,No,"Stacey Brown-Sommers
360-254-7711
stacey@mindlinkresources.com","<ul>
<li>Interpretation</li>
<li>Translation</li>
<li>Multiple languages</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=c31000644&t=Record
Mosaic Ecology LLC,"Natural Area Habitat Restoration ",31001711,02/24/2020,02/23/2025,Yes,No,"Jason Dumont
503-961-2423
Jason@mosaicecology.com",,https://trim.portlandoregon.gov/mobile?q=c31001711&t=Record
Mt Scott Fuel Co,"Wood Chips and Bark Mulch ",31001040,06/01/2017,05/31/2022,Yes,No,"Clay Tyler
503-774-3241
claytyler@mtscottfuel.com",,https://trim.portlandoregon.gov/mobile?q=C31001040&t=Record
My T Print Inc dba Class Act Uniforms,"T-shirts and Custom Printed Apparel ",31001157,10/22/2018,10/21/2023,Yes,No,"Wendy Rigsby
503-548-7216
classactwendy@gmail.com",,https://trim.portlandoregon.gov/mobile?q=C31001157&t=Record
Newjee LLC dba Hyphn,Office Furniture,31001293,04/25/2018,04/24/2023,Yes,No,"Christi Vermillion
503-919-1480
christi.vermillion@hyphn.com ","Not for ergonomic chairs, desks or keyboard trays.",https://trim.portlandoregon.gov/mobile?q=C31001293&t=Record
North Coast Electric Company,"Industrial MRO Supplies ",31001399,08/10/2018,06/30/2023,No,Yes,"Clint Martz
503-281-8888
clint.martz@northcoast.com",,https://trim.portlandoregon.gov/mobile?q=c31001399&t=Record
North Sky Communications Inc,Data Communications Products and Services,31001024,04/28/2017,04/27/2022,Yes,No,"Dave Matton
dmatton@northskycomm.com",,https://trim.portlandoregon.gov/mobile?q=C31001024&t=Record
Northwest Tree Specialists,"Arborist Services ",31001231,02/01/2018,01/31/2023,Yes,No,"Jeanine March
503-645-2242
jmarch@savatree.com ",,https://trim.portlandoregon.gov/mobile?q=C31001231&t=Record
NRC Environmental Services Inc,Hazardous Waste Cleanup,31001353,07/01/2018,06/30/2023,Yes,No,"Greg Harris
1-800-899-4672
gharris@nrcc.com",,https://trim.portlandoregon.gov/mobile?q=C31001353&t=Record
Office Depot,Office Supplies and Equipment,31000785,01/01/2016,12/19/2022,No,Yes,"Jeff Castor
Customer Care: 888-777-4044
jeff.castor@officedepot.com",,https://trim.portlandoregon.gov/mobile?q=c31000785&t=Record
Oregon Translation LLC dba Verbio,Language and Translation Services,31000638,12/24/2014,10/31/2024,Yes,No,"Virginia Anderson
503-914-1119
virginia@oregontranslation.com","<ul>
<li>Translation</li>
<li>Multiple languages</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=c31000638&t=Record
Pacific Office Automation,"Vendor Managed Printer Services ",31001986,07/01/2021,06/30/2026,No,No,"Jeff Simon
503-601-2315
Jeff.Simon@pacificoffice.com",,https://trim.portlandoregon.gov/mobile?q=C31001986&t=Record
Pacific Stationery & Printing Co In,Surplus Disposition,31000992,03/15/2017,03/14/2022,Yes,No,"Barbara Pearce
971-254-4126
Barb_Pearce@pacificwro.com",Disposition of surplus office items.,https://trim.portlandoregon.gov/mobile?q=C31000992&t=Record
Paramount Pest Control Inc,"Pest Management Services ",31000931,12/01/2016,11/30/2026,Yes,No,"Gean Camp
503-288-7375
paramount@paramountpest.com ",,https://trim.portlandoregon.gov/mobile?q=c31000931&t=Record
Part Works Inc,"Plumbing Supplies ",31001448,10/15/2018,08/31/2023,No,No,"Mike Meyer
503-679-4789 
meyer@thepartworks.com",,https://trim.portlandoregon.gov/mobile?q=C31001448&t=Record
Passport To Languages,Language and Translation Services,31000643,12/24/2014,10/31/2024,Yes,No,"Erik Lawson
503-297-2707
erik@passporttolanguages.com","<ul>
<li>Interpretation</li>
<li>Translation</li>
<li>Multiple languages including ASL</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=c31000643&t=Record
PBS Engineering And Environmental Inc,Industrial Hygiene Services,31001609,08/01/2019,07/31/2022,Yes,No,"Derek May
503-248-1939
derek.may@pbsenv.com",,https://trim.portlandoregon.gov/mobile?q=C31001609&t=Record
Peace Of Mind Cleaning LLC,Nuisance Abatement Services,31002007,08/16/2021,08/15/2026,Yes,No,"Cesar Mata
971.200.0069
cesar@peaceofmindcleaningllc.com","<ul>
<li>Nuisance vegetation management</li>
<li>Debris removal</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31002007&t=Record
PKS International LLC,Community Engagement Liaison,31000864,05/01/2016,04/30/2024,Yes,No,"Ping Khaw
503-502-2386
pingkhaw0604@gmail.com
pksinternational.com",,https://trim.portlandoregon.gov/mobile?q=c31000864&t=Record
Porter W Yett Company,Aggregates and Hauling,31000909,09/01/2016,08/31/2022,Yes,No,"Flindt Windom
503-282-3251
flindt@cnnw.net ",Includes disposition of earthen materials.,https://trim.portlandoregon.gov/mobile?q=c31000909&t=Record
Portland Adventist Medical Cntr,Hearing Conservation Services,31001391,08/01/2018,07/31/2026,Yes,No,"Gregory Borgmeyer
503-261-6604
BorgmeGD@ah.org",,https://trim.portlandoregon.gov/mobile?q=c31001391&t=Record
Powell Paint Center,"Paint, Coatings, and Related Supplies ",31001686,01/01/2020,12/31/2024,Yes,No,"Geoff Landes
503-775-3642
office@powellpaintcenter.com",,https://trim.portlandoregon.gov/mobile?q=C31001686&t=Record
Praxair Distribution,Medical And Industrial Gases,31001314,04/10/2018,04/09/2023,Yes,Yes,"Nathan Plyler
360-619-7111
Nathan.plyler@Praxair.com",,https://trim.portlandoregon.gov/mobile?q=C31001314&t=Record
R & R Contracting Incorporated,"Natural Area Habitat Restoration ",31001713,02/24/2020,02/23/2025,Yes,No,"Amador Rocha
503-559-5689
rrconracting@hotmail.com",,https://trim.portlandoregon.gov/mobile?q=c31001713&t=Record
R Franco Restoration Inc,"Natural Area Habitat Restoration ",31001712,02/24/2020,02/23/2025,Yes,No,"Rosario Franco
503-580-3988
rfrancorestoration@hotmail.com",,https://trim.portlandoregon.gov/mobile?q=c31001712&t=Record
R S Hughes Co Inc,Industrial Safety Products,31000540,06/02/2014,11/26/2023,No,No,"Alan Alexander
503-251-0494
aalexander@rshughes.com",,https://trim.portlandoregon.gov/mobile?q=c31000540&t=Record
Rapid Response Bio Clean Inc,"Hazardous Waste Cleanup ",31002016,05/21/2021,06/30/2023,Yes,No,"Lance Hamel
503-421-5128
lance@rapidresponsebioclean.com",,https://trim.portlandoregon.gov/mobile?q=C31001354&t=Record
Rapid Response Bio Clean Inc,Nuisance Abatement Services,31002020,08/16/2021,08/15/2026,Yes,No,"Lance Hamel
503-421-5128
lance@rapidresponsebioclean.com","<ul>
<li>Nuisance vegetation management</li>
<li>Debris removal</li>
<li>Board up services</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31002020&t=Record
Recology Portland Inc,Waste Management,31001278,04/16/2018,04/15/2023,Yes,No,"Greg Moore
503-226-6161
GMoore@recology.com",For City facilities.,https://trim.portlandoregon.gov/mobile?q=c31001278&t=Record
Relay Resources,Document Shredding,31001651,10/01/2019,09/30/2023,Yes,No,"Todd Redford
503-261-1266 x210
tredford@relayresources.org",,https://trim.portlandoregon.gov/mobile?q=C31001651&t=Record
Rexel Usa Inc dba Platt Electric,"Electrical Parts and Supplies ",31001280,03/01/2018,04/30/2022,Yes,Yes,"Caleb Holt
503-684-2087
caleb.holt@platt.com",,https://trim.portlandoregon.gov/mobile?q=C31001008&t=Record
Rexius Forest By-Products Inc,"Wood Chips and Bark Mulch ",31001039,06/01/2017,05/31/2022,Yes,No,"Danny Gunderson
503-635-5865
dannyg@rexius.com",,https://trim.portlandoregon.gov/mobile?q=C31001039&t=Record
Shaw Industries Inc,Flooring Materials And Services,31001761,05/01/2020,10/11/2023,No,No,"Melanie Taylor
770-276-7502
melanie.taylor@shawinc.com",,https://trim.portlandoregon.gov/mobile?q=C31001761&t=Record
Sherwin-Williams Co,"Paint, Coatings, and Related Supplies ",31001687,01/01/2020,12/31/2024,Yes,No,"Gregg Hubert
503-880-2861
swrep417@sherwin.com",,https://trim.portlandoregon.gov/mobile?q=C31001687&t=Record
Sid Tool Co Inc dba MSC Industrial Supply,"Industrial MRO Supplies ",31001481,12/01/2018,06/30/2023,No,Yes,"Scott Smejkal
971-998-0624
scott.smejkal@mscdirect.com",,https://trim.portlandoregon.gov/mobile?q=c31001481&t=Record
Sjoberg Evashenk Consulting Inc,Audit Services,31001843,12/01/2020,11/30/2025,No,No,"George Skiles
916-443-1300
george@secteam.com","<ul>
<li>Federal compliance audit</li>
<li>Financial audit</li>
<li>Fraud audit</li>
<li>Information technology audit</li>
<li>Performance audit</li>
<li>Quality assurance reviews</li>
<li>Risk assessment</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31001843&t=Record
Snugs Pro Wash Inc,"Snow and Ice Management ",31001678,12/06/2019,12/05/2022,Yes,No,"Snugs Services Hotline
503-408-7722
luke@snugsservices.com

Emergency Services and Dispatch Concerns:
Luke Hintz, 503-805-5318 (cell)
Kyle Snuggerud 503-349-2412 (cell)",,https://trim.portlandoregon.gov/mobile?q=c31001678&t=Record
Snugs Pro Wash Inc,Nuisance Abatement Services,31002009,08/16/2021,08/15/2026,Yes,No,"Luke Hintz
503-408-7722
luke@snugsservices.com ","<ul>
<li>Nuisance vegetation management</li>
<li>Debris removal</li>
<li>Board up services</li>
</ul>
",https://trim.portlandoregon.gov/mobile?q=C31002009&t=Record
Sound Native Plants Inc,"Natural Area Habitat Restoration ",31001714,02/24/2020,02/23/2025,Yes,No,"Chad Stemm
360-909-2669
chad@soundnativeplants.com",,https://trim.portlandoregon.gov/mobile?q=c31001714&t=Record
Stanley Kennedy Enterprises Inc,Nuisance Abatement Services,31002010,08/16/2021,08/15/2026,Yes,No,"Larry Goldade
503-234-0509
larry@kennedyres.com ",Board up services,https://trim.portlandoregon.gov/mobile?q=C31002010&t=Record
Staples Contract & Commercial Inc,"Janitorial Supplies and Services ",31000447,08/01/2013,07/31/2023,Yes,Yes,"Janet Feldman
407-475-4135
janet.feldman@staples.com",,https://trim.portlandoregon.gov/mobile?q=c31000447&t=Record
Stark Street Lawn & Garden,"Power Tools Sales and Service ",31001670,11/18/2019,11/17/2024,Yes,Yes,"Rebekah Dady
503-625-2967
rebekahd@starkstreet.com",,https://trim.portlandoregon.gov/mobile?q=C31001670&t=Record
Streimer Sheet Metal Works Inc,On-Call Mechanical Services,31001623,08/15/2019,08/14/2024,Yes,No,"Melissa Bolton
503-943-6006
mbolton@streimer.com",,https://trim.portlandoregon.gov/mobile?q=C31001623&t=Record
Sustainable Northwest Wood,Lumber Products and Building Supplies,31000383,01/15/2013,01/14/2023,Yes,No,"Kelly Eisenberg
503-239-9663
kc@snwwood.com",,https://trim.portlandoregon.gov/mobile?q=c31000383&t=Record
The Fiber Guys LLC,Data Communications Products and Services,31001054,04/28/2017,04/27/2022,Yes,No,"Cody Peterson
503-502-7351
cody@thefiberguys.net",,https://trim.portlandoregon.gov/mobile?q=c31001054&t=Record
The Goodyear Tire & Rubber Company,Tires and Services,31001573,07/01/2019,03/31/2024,No,No,"Kenny Miller
330-796-4352
kenneth_miller@goodyear.com",,https://trim.portlandoregon.gov/mobile?q=C31001573&t=Record
Trane US Inc,"HVAC Equipment and Services ",31001644,10/01/2019,09/30/2022,No,No,"Liz Scott
503-620-8031
Elisabeth.Scott@trane.com",,https://trim.portlandoregon.gov/mobile?q=C31001644&t=Record
Treecology Inc,"Arborist Services ",31001232,02/01/2018,01/31/2023,Yes,No,"Treecology
503-804-7868
info@treecology.com",,https://trim.portlandoregon.gov/mobile?q=C31001232&t=Record
Tyco Fire & Security Management Inc,"Security Products and Services ",31001387,04/24/2018,06/29/2026,No,No,"Jessica Hines
Security Sales Manager
971-420-3095
jessica.hines@jci.com",,https://trim.portlandoregon.gov/mobile?q=C31001351&t=Record
United Rentals North America Inc,Equipment Rental,31001563,06/01/2019,10/16/2022,No,No,"Jim Craig
503-255-3449
jcraig@ur.com",,https://trim.portlandoregon.gov/mobile?q=C31001563&t=Record
United Site Services Of Nevada Inc,"Portable Restroom Services ",31001333,06/01/2018,05/31/2023,Yes,No,"Cheryl Hays
Sector Account Manager – Pacific NW
503-969-3173
Cheryl.hays@unitedsiteservices.com",,https://trim.portlandoregon.gov/mobile?q=C31001333&t=Record
URS Electronics Inc,Transportation Network Equipment,31001020,05/01/2017,01/31/2025,No,No,"Mark Twietmeyer
503-820-6113
mark.twietmeyer@ursele.com",,https://trim.portlandoregon.gov/mobile?q=c31001020&t=Record
VGS Logistics Inc,"Moving, Installation, Deinstallation and Storage Services ",31001444,12/01/2018,06/30/2023,No,No,"Dan Dague
503-427-2122
dandague@vgslogistics.com",,https://trim.portlandoregon.gov/mobile?q=C31001444&t=Record
Wasco County Landfill Inc,"Contaminated Media Disposal ",31001452,05/01/2019,04/30/2024,Yes,No,"Nancy Mitchell
360-936-0386
nancy.mitchell@wasteconnections.com",,https://trim.portlandoregon.gov/mobile?q=C31001452&t=Record
Washington Audiology Services,Hearing Conservation Services,31001392,08/01/2018,07/31/2026,Yes,No,"Ian MacLean
206-764-3330 Ext.#119
ian@washingtonaudiology.com",,https://trim.portlandoregon.gov/mobile?q=c31001392&t=Record
Watershed LLC,Rain Wear,31001668,11/15/2019,10/17/2024,No,No,"Anna Yerton
800-848-8092
orders@gowatershed.com",,https://trim.portlandoregon.gov/mobile?q=C31001668&t=Record
Weatherproofing Technologies Inc,"Roofing and Building Envelope Services ",31001932,03/01/2021,02/28/2025,No,No,"Regina Martino
216-514-7771
rmartino@tremcoinc.com",,https://trim.portlandoregon.gov/mobile?q=C31001932&t=Record
Wilbur-Ellis Company,Fertilizers and Pesticides,31000491,01/01/2014,12/31/2023,Yes,No,"Stan Presley
503-550-4186
stpresley@wilburellis.com ",,https://trim.portlandoregon.gov/mobile?q=c31000491&t=Record
Wilkins Trucking Co Inc,Aggregates and Hauling,31000907,09/01/2016,08/31/2022,Yes,No,"Linda Wilkins
503-283-3000
linda@wilkinstruckingco.com",Includes disposition of earthen materials.,https://trim.portlandoregon.gov/mobile?q=c31000907&t=Record
Wisdom Workforce Development LLC,"Natural Area Habitat Restoration ",31001717,02/24/2020,02/23/2025,Yes,No,"Alvey Seeyouma
503-775-4014
alvey@wisdomoftheelders.org",,https://trim.portlandoregon.gov/mobile?q=c31001717&t=Record
Wood Environmental & Infrastructure,Industrial Hygiene Services,31001612,08/01/2019,07/31/2022,Yes,No,"Jamie Fleek
503-639-3400
nwmarketing@woodplc.com",,https://trim.portlandoregon.gov/mobile?q=C31001612&t=Record
